FSM_ID FSMStates FSMInputs FSMOutputs FSMSize W_Time W_Memory SIS_Tr SIS_Size SIS_Cost TS_Size TS_Cost Algorithm
53 10 6 6 60 0 0.9375 2268 60 138 420 1326 MWA
54 10 6 6 60 0 0.9375 353 1 41 181 695 OWA
54 10 6 6 60 0 0.9375 2307 70 201 490 1827 CWA
54 10 6 6 60 0 0.9375 2307 60 138 420 1326 MWA
55 10 6 6 60 0 0.75 357 1 44 121 572 OWA
55 10 6 6 60 0 0.9375 2349 80 232 560 2104 CWA
55 10 6 6 60 0 0.9375 2349 60 144 420 1368 MWA
56 10 6 6 60 0 0.835938 361 1 44 181 752 OWA
56 10 6 6 60 0 0.835938 2397 60 196 420 1732 CWA
56 10 6 6 60 0 0.9375 2397 60 156 420 1452 MWA
57 10 6 6 60 0 0.78125 369 1 38 121 506 OWA
57 10 6 6 60 0 0.9375 2439 60 184 420 1648 CWA
57 10 6 6 60 0 0.9375 2439 60 144 420 1368 MWA
58 10 6 6 60 0 0.90625 373 1 34 121 514 OWA
58 10 6 6 60 0 0.9375 2484 70 215 490 1925 CWA
58 10 6 6 60 0 0.9375 2484 60 150 420 1410 MWA
59 10 6 6 60 0 0.773438 386 1 53 181 707 OWA
59 10 6 6 60 0 0.9375 2523 80 224 560 2048 CWA
59 10 6 6 60 0 0.9375 2523 60 138 420 1326 MWA
60 10 6 6 60 0 0.789062 391 1 45 181 717 OWA
60 10 6 6 60 0 0.9375 2565 70 198 490 1806 CWA
60 10 6 6 60 0 0.9375 2565 60 144 420 1368 MWA
61 10 6 6 60 0 0.742188 396 1 25 61 283 OWA
61 10 6 6 60 0 0.78125 2604 70 191 490 1757 CWA
61 10 6 6 60 0 0.9375 2604 60 138 420 1326 MWA
62 10 6 6 60 0 0.9375 408 1 72 241 984 OWA
62 10 6 6 60 0 0.9375 2643 70 201 490 1827 CWA
62 10 6 6 60 0 0.9375 2643 60 138 420 1326 MWA
63 10 6 6 60 0 0.761719 417 1 49 181 703 OWA
63 10 6 6 60 0 0.9375 2682 70 201 490 1827 CWA
63 10 6 6 60 0 0.9375 2682 60 138 420 1326 MWA
64 10 6 6 60 0 0.8125 425 1 58 181 772 OWA
64 10 6 6 60 0 0.835938 2721 60 178 420 1606 CWA
64 10 6 6 60 0 0.9375 2721 60 138 420 1326 MWA
65 10 6 6 60 0 0.851562 435 1 50 181 758 OWA
65 10 6 6 60 0 0.9375 2769 60 196 420 1732 CWA
65 10 6 6 60 0 0.9375 2769 60 156 420 1452 MWA
66 10 6 6 60 0 0.832031 451 1 66 181 798 OWA
66 10 6 6 60 0 0.816406 2811 60 184 420 1648 CWA
66 10 6 6 60 0 0.9375 2811 60 144 420 1368 MWA
67 10 6 6 60 0 0.800781 462 1 41 121 497 OWA
67 10 6 6 60 0 0.820312 2850 70 201 490 1827 CWA
67 10 6 6 60 0 0.9375 2850 60 138 420 1326 MWA
68 10 6 6 60 0 0.777344 472 1 40 121 496 OWA
68 10 6 6 60 0 0.9375 2889 60 178 420 1606 CWA
68 10 6 6 60 0 0.9375 2889 60 138 420 1326 MWA
69 10 6 6 60 0 0.761719 479 1 37 121 505 OWA
69 10 6 6 60 0 0.9375 2931 60 184 420 1648 CWA
69 10 6 6 60 0 0.9375 2931 60 144 420 1368 MWA
70 10 6 6 60 0 0.789062 490 1 51 181 759 OWA
70 10 6 6 60 0 0.816406 2979 80 248 560 2216 CWA
70 10 6 6 60 0 0.9375 2979 60 156 420 1452 MWA
71 10 6 6 60 0 0.832031 490 1 30 121 498 OWA
71 10 6 6 60 0 0.9375 3021 70 208 490 1876 CWA
71 10 6 6 60 0 0.9375 3021 60 144 420 1368 MWA
72 10 6 6 60 0 0.816406 491 1 31 121 487 OWA
72 10 6 6 60 0 0.847656 3060 70 201 490 1827 CWA
72 10 6 6 60 0 0.9375 3060 60 138 420 1326 MWA
73 10 6 6 60 0 0.832031 495 1 34 121 490 OWA
73 10 6 6 60 0 0.863281 3099 70 201 490 1827 CWA
73 10 6 6 60 0 0.9375 3099 60 138 420 1326 MWA
75 10 6 6 60 0 0.78125 503 1 58 181 772 OWA
75 10 6 6 60 0 0.863281 3138 70 201 490 1827 CWA
75 10 6 6 60 0 0.9375 3138 60 138 420 1326 MWA
76 10 6 6 60 0 0.894531 507 1 54 181 768 OWA
76 10 6 6 60 0 0.9375 3177 60 178 420 1606 CWA
76 10 6 6 60 0 0.9375 3177 60 138 420 1326 MWA
77 10 6 6 60 0 0.890625 514 1 27 61 297 OWA
77 10 6 6 60 0 0.9375 3222 60 180 420 1620 CWA
77 10 6 6 60 0 0.9375 3222 60 150 420 1410 MWA
78 10 6 6 60 0 0.804688 521 1 37 121 505 OWA
78 10 6 6 60 0 0.847656 3264 70 208 490 1876 CWA
